Item,Denomination,Quantity,Price (USD),Amount,Deliv. Dt.
000460150000102,1460.150-BL ESCUADRA FIJA,1620,0.524,848.88,03/02/2026
000460150002102,1460.150-CRBR ESCUADRA FIJA,540,0.744,401.76,03/02/2026
000460150003802,1460.150-CML ESCUADRA FIJA,864,0.524,452.74,03/02/2026
000460200001802,1460.200-NGM ESCUADRA FIJA,250,0.808,202,03/02/2026
000461150000102,1461.150-BL ESCUADRA FIJA,250,0.567,141.75,03/02/2026
000461150003802,1461.150-CML ESCUADRA FIJA,250,0.567,141.75,03/02/2026
000461200000102,1461.200-BL ESCUADRA FIJA,504,0.818,412.27,03/02/2026
000461200001802,1461.200-NGM ESCUADRA FIJA,504,0.818,412.27,03/02/2026
000461200003802,1461.200-CML ESCUADRA FIJA,504,0.818,412.27,03/02/2026
000462150003802,1462.150-CML ESCUADRA FIJA,250,0.643,160.75,03/02/2026
000467200000000,467-200 ESC.FIJA ONDAS,200,0.735,147,03/02/2026
000468150000102,ESCUADRA STEP L 150 BLANCO,1080,0.699,754.92,03/02/2026
000468150003802,1468.150-CML ESCUADRA FIJA,250,0.699,174.75,03/02/2026
000468200000102,ESCUADRA STEP XL 200 BLANCO,504,0.982,494.93,03/02/2026
000474120000102,1474.120-BL.ESC.FUN.120X80X23,10000,0.11,1100,03/02/2026
000474120000302,1474.120-NG.ESC.FUN.120X80X23,3200,0.11,352,03/02/2026
000474170000102,1474.170-BL.ESC.FUN.170X120X24,13200,0.15,1980,03/02/2026
000474170000302,1474.170-NG.ESC.FUN.170X120X24,7200,0.15,1080,03/02/2026
000474220000102,1474.220-BL.ESC.FUN.220X155X25,15000,0.21,3150,03/02/2026
000474220000302,1474.220-NG.ESC.FUN.220X155X25,3200,0.21,672,03/02/2026
000474270000102,1474.270-BL.ESC.FUN.270X190X26,15000,0.3,4500,03/02/2026
000474320000102,1474.320-BL.ESC.FUN.320X220X27,3200,0.41,1312,03/02/2026
000474320000302,1474.320-NG.ESC.FUN.320X220X27,1000,0.41,410,03/02/2026
001070201017P02,ESC IND BALDA 20MM BLANCO PORO,1000,0.98,980,03/02/2026
001070201018P02,ESC IND BALDA 20MM NEGRO PORO,3000,0.98,2940,03/02/2026
001070251217P02,ESC IND BALDA 25MM BLANCO PORO,800,1.12,896,03/02/2026
Commercial,PP Disc. % PP Disc. value Fin. Exp.,,Total,Total,(USD)
001070251218P02,ESC IND BALDA 25MM NEGRO PORO,2808,1.12,3144.96,03/02/2026
001070252017P02,ESC IND BALDA 20/25MM BLANCO P,300,1.35,405,03/02/2026
001070252018P02,ESC IND BALDA 20/25MM NEGRO P,3300,1.35,4455,03/02/2026
001070302017P02,ESC IND BALDA 20/30MM BLANCO P,1512,1.45,2192.4,03/02/2026
001070302018P02,ESC IND BALDA 20/30MM NEGRO P,4608,1.45,6681.6,03/02/2026
001079252017P02,ESC TRI BALDA 20/25 BLANCO P,1300,1.3,1690,03/02/2026
001079252018P02,ESC TRI BALDA 20/25 NEGRO P,3200,1.3,4160,03/02/2026
001490250000207,ESCUADRA C/NERVIO GR 25X30,500,0.327,163.5,03/02/2026
008005065000307,GANCHO UNIVERSAL 13x6 NEGRO,1000,0.27,270,03/02/2026
Commercial,PP Disc. % PP Disc. value Fin. Exp.,,Total,Total,(USD)
Commercial,PP Disc. % PP Disc. value Fin. Exp.,,Total,Total,(USD)
